EEG DATA
73027.0 515.0
74039.0 510.0
74039.0 516.0
74039.0 516.0
74039.0 512.0
74039.0 513.0
74039.0 514.0
74039.0 512.0
74039.0 512.0
74039.0 515.0
74039.0 512.0
75063.0 514.0
75063.0 522.0
75063.0 509.0
75063.0 512.0
75063.0 505.0
75063.0 512.0
75063.0 512.0
75063.0 511.0
75063.0 519.0
75063.0 519.0
76041.0 514.0
76041.0 511.0
76041.0 519.0
76041.0 514.0
76041.0 513.0
76041.0 519.0
76041.0 516.0
76041.0 515.0
76041.0 515.0
76041.0 513.0
77025.0 518.0
77025.0 517.0
77025.0 513.0
77025.0 519.0
77025.0 516.0
77025.0 515.0
77025.0 519.0
77025.0 516.0
77025.0 516.0
77025.0 516.0
78030.0 512.0
78030.0 512.0
78030.0 512.0
78030.0 519.0
78030.0 517.0
78031.0 508.0
78031.0 515.0
78031.0 511.0
78031.0 515.0
78031.0 518.0
79055.0 514.0
79055.0 518.0
79055.0 514.0
79055.0 520.0
79055.0 516.0
79055.0 510.0
79055.0 518.0
79055.0 508.0
79055.0 520.0
79055.0 518.0
80035.0 517.0
80035.0 512.0
80035.0 516.0
80035.0 515.0
80035.0 519.0
80035.0 519.0
80035.0 517.0
80035.0 513.0
80035.0 518.0
80035.0 512.0
81041.0 515.0
81041.0 508.0
81041.0 519.0
81041.0 513.0
81041.0 508.0
81041.0 520.0
81041.0 515.0
81041.0 507.0
81041.0 510.0
81041.0 513.0
ECG DATA
73027.0 515.0
74039.0 510.0
74039.0 516.0
74039.0 516.0
74039.0 512.0
74039.0 513.0
74039.0 514.0
74039.0 512.0
74039.0 512.0
74039.0 515.0
74039.0 512.0
75063.0 514.0
75063.0 522.0
75063.0 509.0
75063.0 512.0
75063.0 505.0
75063.0 512.0
75063.0 512.0
75063.0 511.0
75063.0 519.0
75063.0 519.0
76041.0 514.0
76041.0 511.0
76041.0 519.0
76041.0 514.0
76041.0 513.0
76041.0 519.0
76041.0 516.0
76041.0 515.0
76041.0 515.0
76041.0 513.0
77025.0 518.0
77025.0 517.0
77025.0 513.0
77025.0 519.0
77025.0 516.0
77025.0 515.0
77025.0 519.0
77025.0 516.0
77025.0 516.0
77025.0 516.0
78030.0 512.0
78030.0 512.0
78030.0 512.0
78030.0 519.0
78030.0 517.0
78031.0 508.0
78031.0 515.0
78031.0 511.0
78031.0 515.0
78031.0 518.0
79055.0 514.0
79055.0 518.0
79055.0 514.0
79055.0 520.0
79055.0 516.0
79055.0 510.0
79055.0 518.0
79055.0 508.0
79055.0 520.0
79055.0 518.0
80035.0 517.0
80035.0 512.0
80035.0 516.0
80035.0 515.0
80035.0 519.0
80035.0 519.0
80035.0 517.0
80035.0 513.0
80035.0 518.0
80035.0 512.0
81041.0 515.0
81041.0 508.0
81041.0 519.0
81041.0 513.0
81041.0 508.0
81041.0 520.0
81041.0 515.0
81041.0 507.0
81041.0 510.0
81041.0 513.0
COMMENTS

